iter	MultiClass
0	1.017738883
1	0.9454083423
2	0.8815610933
3	0.8235683935
4	0.7712086511
5	0.723689505
6	0.6803709192
7	0.6407283181
8	0.6044141894
9	0.5708199502
10	0.5397978507
11	0.5110822753
12	0.4844444162
13	0.459685786
14	0.4364738294
15	0.414796425
16	0.3945218363
17	0.3755332075
18	0.3577264199
19	0.3410083222
20	0.3253628754
21	0.3105681647
22	0.2967223033
23	0.2835789593
24	0.2712829013
25	0.2595666475
26	0.248497856
27	0.2380334458
28	0.2282263954
29	0.2188452393
30	0.210062849
31	0.2016317634
32	0.1936372483
33	0.1860527112
34	0.1789448731
35	0.1720992091
36	0.1655951957
37	0.1594129611
38	0.1535339812
39	0.1479409703
40	0.1426177811
41	0.1375493158
42	0.1327214451
43	0.1281209345
44	0.1237353779
45	0.1195531369
46	0.1155632853
47	0.1117555589
48	0.1081203088
49	0.1044687682
50	0.1011543616
51	0.09798672824
52	0.09495829089
53	0.09206190755
54	0.08929084331
55	0.08663874442
56	0.08409961422
57	0.0816677909
58	0.07933792675
59	0.07710496902
60	0.07496414196
61	0.07291093024
62	0.0709410634
63	0.0690505014
64	0.06723542105
65	0.06549220346
66	0.06381742213
67	0.06220783196
68	0.06066035884
69	0.05917208996
70	0.05774026468
71	0.05636226599
72	0.05503561244
73	0.05375795065
74	0.05252704814
75	0.05134078671
76	0.05019715612
77	0.04909424819
78	0.04803025121
79	0.04700344473
80	0.04601219456
81	0.04505494815
82	0.04413023017
83	0.04323663836
84	0.04237283963
85	0.04153756635
86	0.04072961289
87	0.0399478323
88	0.03919113323
89	0.03845847697
90	0.0377488747
91	0.03706138486
92	0.0363951107
93	0.03574919791
94	0.03512283242
95	0.03451523836
96	0.033925676
97	0.03335343998
98	0.03279785748
99	0.0322582866
