Model,AUC
SVM,0.926053755733351
KNN,0.9244668553268892
CatBoost,0.9222708834850487
Random Forest,0.921255764426085
MLP,0.9180239568097915
XGBoost,0.9177877862532161
AdaBoost,0.9167892405666437
Bagging DT,0.9090121855720507
Decision Tree,0.8893768826315201
